act,vendor,gem,class_name,mission
Act 3,Siosa,Elemental_Weakness,Duelist,A Fixture of Fate
Act 3,Siosa,Elemental_Weakness,Marauder,A Fixture of Fate
Act 3,Clarissa,Elemental_Weakness,Templar,Lost in Love
Act 3,Clarissa,Elemental_Weakness,Scion,Lost in Love
Act 3,Siosa,Fortify_Support,Witch,A Fixture of Fate
Act 3,Clarissa,Fortify_Support,Shadow,A Fixture of Fate
Act 3,Clarissa,Fortify_Support,Ranger,A Fixture of Fate
Act 3,Clarissa,Fortify_Support,Duelist,A Fixture of Fate
Act 3,Clarissa,Fortify_Support,Marauder,A Fixture of Fate
Act 3,Clarissa,Fortify_Support,Templar,A Fixture of Fate
Act 3,Clarissa,Fortify_Support,Scion,A Fixture of Fate
Act 3,Siosa,Lightning_Arrow,Witch,A Fixture of Fate
Act 1,Nessa,Lightning_Arrow,Shadow,The Siren's Cadence
Act 1,Nessa,Lightning_Arrow,Ranger,The Siren's Cadence
Act 1,Nessa,Lightning_Arrow,Duelist,The Siren's Cadence
Act 3,Siosa,Lightning_Arrow,Marauder,A Fixture of Fate
Act 3,Siosa,Lightning_Arrow,Templar,A Fixture of Fate
Act 3,Siosa,Lightning_Arrow,Scion,A Fixture of Fate
Act 4,Petarus and Vanja,Summon_Flame_Golem,Witch,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Flame_Golem,Shadow,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Flame_Golem,Ranger,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Flame_Golem,Duelist,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Flame_Golem,Marauder,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Flame_Golem,Templar,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Flame_Golem,Scion,Breaking the Seal
Act 3,Siosa,Smite,Witch,A Fixture of Fate
Act 3,Siosa,Smite,Shadow,A Fixture of Fate
Act 3,Siosa,Smite,Ranger,A Fixture of Fate
Act 3,Siosa,Smite,Duelist,A Fixture of Fate
Act 1,Nessa,Smite,Marauder,Enemy at the Gate
Act 1,Nessa,Smite,Templar,Enemy at the Gate
Act 1,Nessa,Smite,Scion,Enemy at the Gate
Act 3,Siosa,Frost_Blades,Witch,A Fixture of Fate
Act 1,Nessa,Frost_Blades,Shadow,Enemy at the Gate
Act 1,Nessa,Frost_Blades,Ranger,Enemy at the Gate
Act 1,Nessa,Frost_Blades,Duelist,Enemy at the Gate
Act 3,Siosa,Frost_Blades,Marauder,A Fixture of Fate
Act 3,Siosa,Frost_Blades,Templar,A Fixture of Fate
Act 1,Nessa,Frost_Blades,Scion,Enemy at the Gate
Act 4,Petarus and Vanja,Summon_Carrion_Golem,Witch,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Carrion_Golem,Shadow,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Carrion_Golem,Ranger,Breaking the Seal
Act 6,Lilly Roth,Summon_Carrion_Golem,Duelist,Fallen from Grace
Act 6,Lilly Roth,Summon_Carrion_Golem,Marauder,Fallen from Grace
Act 4,Petarus and Vanja,Summon_Carrion_Golem,Templar,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Carrion_Golem,Scion,Breaking the Seal
Act 3,Siosa,Iron_Grip_Support,Witch,A Fixture of Fate
Act 3,Siosa,Iron_Grip_Support,Shadow,A Fixture of Fate
Act 2,Yeena,Iron_Grip_Support,Ranger,Sharp and Cruel
Act 2,Yeena,Iron_Grip_Support,Duelist,Sharp and Cruel
Act 2,Yeena,Iron_Grip_Support,Marauder,Sharp and Cruel
Act 2,Yeena,Iron_Grip_Support,Templar,Sharp and Cruel
Act 2,Yeena,Iron_Grip_Support,Scion,Sharp and Cruel
Act 3,Siosa,Purity_of_Ice,Witch,A Fixture of Fate
Act 3,Clarissa,Purity_of_Ice,Shadow,Lost in Love
Act 3,Clarissa,Purity_of_Ice,Ranger,Lost in Love
Act 3,Clarissa,Purity_of_Ice,Duelist,Lost in Love
Act 3,Siosa,Purity_of_Ice,Marauder,A Fixture of Fate
Act 3,Siosa,Purity_of_Ice,Templar,A Fixture of Fate
Act 3,Clarissa,Purity_of_Ice,Scion,Lost in Love
Act 6,Lilly Roth,Detonate_Mines,Witch,Fallen from Grace
Act 6,Lilly Roth,Detonate_Mines,Shadow,Fallen from Grace
Act 6,Lilly Roth,Detonate_Mines,Ranger,Fallen from Grace
Act 6,Lilly Roth,Detonate_Mines,Duelist,Fallen from Grace
Act 6,Lilly Roth,Detonate_Mines,Marauder,Fallen from Grace
Act 6,Lilly Roth,Detonate_Mines,Templar,Fallen from Grace
Act 6,Lilly Roth,Detonate_Mines,Scion,Fallen from Grace
Act 1,Nessa,Lightning_Trap,Witch,The Siren's Cadence
Act 1,Nessa,Lightning_Trap,Shadow,The Siren's Cadence
Act 1,Nessa,Lightning_Trap,Ranger,The Siren's Cadence
Act 3,Siosa,Lightning_Trap,Duelist,A Fixture of Fate
Act 3,Siosa,Lightning_Trap,Marauder,A Fixture of Fate
Act 3,Siosa,Lightning_Trap,Templar,A Fixture of Fate
Act 1,Nessa,Lightning_Trap,Scion,The Siren's Cadence
Act 4,Petarus and Vanja,Hextouch_Support,Witch,The Eternal Nightmare
Act 4,Petarus and Vanja,Hextouch_Support,Shadow,The Eternal Nightmare
Act 4,Petarus and Vanja,Hextouch_Support,Ranger,The Eternal Nightmare
Act 4,Petarus and Vanja,Hextouch_Support,Duelist,The Eternal Nightmare
Act 4,Petarus and Vanja,Hextouch_Support,Marauder,The Eternal Nightmare
Act 4,Petarus and Vanja,Hextouch_Support,Templar,The Eternal Nightmare
Act 4,Petarus and Vanja,Hextouch_Support,Scion,The Eternal Nightmare
Act 3,Siosa,Shrapnel_Ballista,Witch,A Fixture of Fate
Act 1,Nessa,Shrapnel_Ballista,Shadow,Breaking Some Eggs
Act 1,Nessa,Shrapnel_Ballista,Ranger,Breaking Some Eggs
Act 1,Nessa,Shrapnel_Ballista,Duelist,Breaking Some Eggs
Act 1,Nessa,Shrapnel_Ballista,Marauder,Breaking Some Eggs
Act 3,Siosa,Shrapnel_Ballista,Templar,A Fixture of Fate
Act 1,Nessa,Shrapnel_Ballista,Scion,Breaking Some Eggs
Act 1,Nessa,Creeping_Frost,Witch,The Siren's Cadence
Act 1,Nessa,Creeping_Frost,Shadow,The Siren's Cadence
Act 3,Siosa,Creeping_Frost,Ranger,A Fixture of Fate
Act 3,Siosa,Creeping_Frost,Duelist,A Fixture of Fate
Act 3,Siosa,Creeping_Frost,Marauder,A Fixture of Fate
Act 1,Nessa,Creeping_Frost,Templar,The Siren's Cadence
Act 1,Nessa,Creeping_Frost,Scion,The Siren's Cadence
Act 3,Siosa,Blast_Rain,Witch,A Fixture of Fate
Act 3,Siosa,Blast_Rain,Shadow,A Fixture of Fate
Act 3,Siosa,Blast_Rain,Ranger,A Fixture of Fate
Act 3,Siosa,Blast_Rain,Duelist,A Fixture of Fate
Act 3,Siosa,Blast_Rain,Marauder,A Fixture of Fate
Act 3,Siosa,Blast_Rain,Templar,A Fixture of Fate
Act 3,Siosa,Blast_Rain,Scion,A Fixture of Fate
Act 1,Nessa,Combustion_Support,Witch,The Caged Brute
Act 1,Nessa,Combustion_Support,Shadow,The Caged Brute
Act 3,Siosa,Combustion_Support,Ranger,A Fixture of Fate
Act 3,Siosa,Combustion_Support,Duelist,A Fixture of Fate
Act 1,Nessa,Combustion_Support,Marauder,The Caged Brute
Act 1,Nessa,Combustion_Support,Templar,The Caged Brute
Act 3,Siosa,Combustion_Support,Scion,A Fixture of Fate
Act 3,Siosa,Dual_Strike,Witch,A Fixture of Fate
Act 1,Nessa,Dual_Strike,Shadow,Enemy at the Gate
Act 1,Nessa,Dual_Strike,Ranger,Enemy at the Gate
Act 1,Nessa,Dual_Strike,Duelist,Enemy at the Gate
Act 1,Nessa,Dual_Strike,Marauder,Enemy at the Gate
Act 3,Siosa,Dual_Strike,Templar,A Fixture of Fate
Act 1,Nessa,Dual_Strike,Scion,Enemy at the Gate
Act 3,Siosa,Ice_Crash,Witch,A Fixture of Fate
Act 3,Siosa,Ice_Crash,Shadow,A Fixture of Fate
Act 3,Siosa,Ice_Crash,Ranger,A Fixture of Fate
Act 3,Siosa,Ice_Crash,Duelist,A Fixture of Fate
Act 3,Siosa,Ice_Crash,Marauder,A Fixture of Fate
Act 3,Siosa,Ice_Crash,Templar,A Fixture of Fate
Act 3,Siosa,Ice_Crash,Scion,A Fixture of Fate
Act 3,Siosa,Soulrend,Witch,A Fixture of Fate
Act 3,Siosa,Soulrend,Shadow,A Fixture of Fate
Act 3,Siosa,Soulrend,Ranger,A Fixture of Fate
Act 3,Siosa,Soulrend,Duelist,A Fixture of Fate
Act 3,Siosa,Soulrend,Marauder,A Fixture of Fate
Act 3,Siosa,Soulrend,Templar,A Fixture of Fate
Act 3,Siosa,Soulrend,Scion,A Fixture of Fate
Act 3,Siosa,Penance_Brand,Witch,A Fixture of Fate
Act 3,Siosa,Penance_Brand,Shadow,A Fixture of Fate
Act 3,Siosa,Penance_Brand,Ranger,A Fixture of Fate
Act 3,Siosa,Penance_Brand,Duelist,A Fixture of Fate
Act 3,Siosa,Penance_Brand,Marauder,A Fixture of Fate
Act 3,Siosa,Penance_Brand,Templar,A Fixture of Fate
Act 3,Siosa,Penance_Brand,Scion,A Fixture of Fate
Act 3,Siosa,Lacerate,Witch,A Fixture of Fate
Act 1,Nessa,Lacerate,Shadow,The Siren's Cadence
Act 1,Nessa,Lacerate,Ranger,The Siren's Cadence
Act 1,Nessa,Lacerate,Duelist,The Siren's Cadence
Act 1,Nessa,Lacerate,Marauder,The Siren's Cadence
Act 1,Nessa,Lacerate,Templar,The Siren's Cadence
Act 1,Nessa,Lacerate,Scion,The Siren's Cadence
Act 3,Clarissa,Lightning_Penetration_Support,Witch,A Fixture of Fate
Act 3,Clarissa,Lightning_Penetration_Support,Shadow,A Fixture of Fate
Act 3,Siosa,Lightning_Penetration_Support,Ranger,A Fixture of Fate
Act 3,Siosa,Lightning_Penetration_Support,Duelist,A Fixture of Fate
Act 3,Siosa,Lightning_Penetration_Support,Marauder,A Fixture of Fate
Act 3,Clarissa,Lightning_Penetration_Support,Templar,A Fixture of Fate
Act 3,Clarissa,Lightning_Penetration_Support,Scion,A Fixture of Fate
Act 3,Siosa,Stun_Support,Witch,A Fixture of Fate
Act 3,Siosa,Stun_Support,Shadow,A Fixture of Fate
Act 3,Siosa,Stun_Support,Ranger,A Fixture of Fate
Act 1,Nessa,Stun_Support,Duelist,The Caged Brute
Act 1,Nessa,Stun_Support,Marauder,The Caged Brute
Act 1,Nessa,Stun_Support,Templar,The Caged Brute
Act 1,Nessa,Stun_Support,Scion,The Caged Brute
Act 4,Petarus and Vanja,Cluster_Traps_Support,Witch,The Eternal Nightmare
Act 4,Petarus and Vanja,Cluster_Traps_Support,Shadow,The Eternal Nightmare
Act 4,Petarus and Vanja,Cluster_Traps_Support,Ranger,The Eternal Nightmare
Act 6,Lilly Roth,Cluster_Traps_Support,Duelist,Fallen from Grace
Act 6,Lilly Roth,Cluster_Traps_Support,Marauder,Fallen from Grace
Act 6,Lilly Roth,Cluster_Traps_Support,Templar,Fallen from Grace
Act 4,Petarus and Vanja,Cluster_Traps_Support,Scion,The Eternal Nightmare
Act 4,Petarus and Vanja,Spell_Echo_Support,Witch,The Eternal Nightmare
Act 4,Petarus and Vanja,Spell_Echo_Support,Shadow,The Eternal Nightmare
Act 4,Petarus and Vanja,Spell_Echo_Support,Ranger,The Eternal Nightmare
Act 4,Petarus and Vanja,Spell_Echo_Support,Duelist,The Eternal Nightmare
Act 4,Petarus and Vanja,Spell_Echo_Support,Marauder,The Eternal Nightmare
Act 4,Petarus and Vanja,Spell_Echo_Support,Templar,The Eternal Nightmare
Act 4,Petarus and Vanja,Spell_Echo_Support,Scion,The Eternal Nightmare
Act 3,Siosa,Perforate,Witch,A Fixture of Fate
Act 3,Siosa,Perforate,Shadow,A Fixture of Fate
Act 1,Nessa,Perforate,Ranger,Enemy at the Gate
Act 1,Nessa,Perforate,Duelist,Enemy at the Gate
Act 1,Nessa,Perforate,Marauder,Enemy at the Gate
Act 3,Siosa,Perforate,Templar,A Fixture of Fate
Act 1,Nessa,Perforate,Scion,Enemy at the Gate
Act 4,Petarus and Vanja,Sigil_of_Power,Witch,Breaking the Seal
Act 4,Petarus and Vanja,Sigil_of_Power,Shadow,Breaking the Seal
Act 6,Lilly Roth,Sigil_of_Power,Ranger,Fallen from Grace
Act 6,Lilly Roth,Sigil_of_Power,Duelist,Fallen from Grace
Act 6,Lilly Roth,Sigil_of_Power,Marauder,Fallen from Grace
Act 4,Petarus and Vanja,Sigil_of_Power,Templar,Breaking the Seal
Act 4,Petarus and Vanja,Sigil_of_Power,Scion,Breaking the Seal
Act 2,Yeena,Herald_of_Purity,Witch,Intruders in Black
Act 3,Siosa,Herald_of_Purity,Shadow,A Fixture of Fate
Act 3,Siosa,Herald_of_Purity,Ranger,A Fixture of Fate
Act 2,Yeena,Herald_of_Purity,Duelist,Intruders in Black
Act 2,Yeena,Herald_of_Purity,Marauder,Intruders in Black
Act 2,Yeena,Herald_of_Purity,Templar,Intruders in Black
Act 2,Yeena,Herald_of_Purity,Scion,Intruders in Black
Act 3,Siosa,Barrage,Witch,A Fixture of Fate
Act 1,Nessa,Barrage,Shadow,The Siren's Cadence
Act 1,Nessa,Barrage,Ranger,The Siren's Cadence
Act 1,Nessa,Barrage,Duelist,The Siren's Cadence
Act 3,Siosa,Barrage,Marauder,A Fixture of Fate
Act 3,Siosa,Barrage,Templar,A Fixture of Fate
Act 1,Nessa,Barrage,Scion,The Siren's Cadence
Act 3,Siosa,Blood_and_Sand,Witch,A Fixture of Fate
Act 3,Siosa,Blood_and_Sand,Shadow,A Fixture of Fate
Act 1,Nessa,Blood_and_Sand,Ranger,Breaking Some Eggs
Act 1,Nessa,Blood_and_Sand,Duelist,Breaking Some Eggs
Act 1,Nessa,Blood_and_Sand,Marauder,Breaking Some Eggs
Act 3,Siosa,Blood_and_Sand,Templar,A Fixture of Fate
Act 1,Nessa,Blood_and_Sand,Scion,Breaking Some Eggs
Act 3,Siosa,Blade_Flurry,Witch,A Fixture of Fate
Act 3,Siosa,Blade_Flurry,Shadow,A Fixture of Fate
Act 3,Siosa,Blade_Flurry,Ranger,A Fixture of Fate
Act 3,Siosa,Blade_Flurry,Duelist,A Fixture of Fate
Act 3,Siosa,Blade_Flurry,Marauder,A Fixture of Fate
Act 3,Siosa,Blade_Flurry,Templar,A Fixture of Fate
Act 3,Siosa,Blade_Flurry,Scion,A Fixture of Fate
Act 3,Siosa,Ancestral_Call_Support,Witch,A Fixture of Fate
Act 3,Siosa,Ancestral_Call_Support,Shadow,A Fixture of Fate
Act 1,Nessa,Ancestral_Call_Support,Ranger,Mercy Mission
Act 1,Nessa,Ancestral_Call_Support,Duelist,Mercy Mission
Act 1,Nessa,Ancestral_Call_Support,Marauder,Mercy Mission
Act 1,Nessa,Ancestral_Call_Support,Templar,Mercy Mission
Act 1,Nessa,Ancestral_Call_Support,Scion,Mercy Mission
Act 3,Siosa,Mirror_Arrow,Witch,A Fixture of Fate
Act 3,Siosa,Mirror_Arrow,Shadow,A Fixture of Fate
Act 3,Siosa,Mirror_Arrow,Ranger,A Fixture of Fate
Act 3,Siosa,Mirror_Arrow,Duelist,A Fixture of Fate
Act 3,Siosa,Mirror_Arrow,Marauder,A Fixture of Fate
Act 3,Siosa,Mirror_Arrow,Templar,A Fixture of Fate
Act 3,Siosa,Mirror_Arrow,Scion,A Fixture of Fate
Act 1,Nessa,Flesh_Offering,Witch,The Siren's Cadence
Act 3,Siosa,Flesh_Offering,Shadow,A Fixture of Fate
Act 3,Siosa,Flesh_Offering,Ranger,A Fixture of Fate
Act 3,Siosa,Flesh_Offering,Duelist,A Fixture of Fate
Act 3,Siosa,Flesh_Offering,Marauder,A Fixture of Fate
Act 1,Nessa,Flesh_Offering,Templar,The Siren's Cadence
Act 1,Nessa,Flesh_Offering,Scion,The Siren's Cadence
Act 1,Nessa,Void_Manipulation_Support,Witch,The Caged Brute
Act 1,Nessa,Void_Manipulation_Support,Shadow,The Caged Brute
Act 1,Nessa,Void_Manipulation_Support,Ranger,The Caged Brute
Act 3,Siosa,Void_Manipulation_Support,Duelist,A Fixture of Fate
Act 3,Siosa,Void_Manipulation_Support,Marauder,A Fixture of Fate
Act 1,Nessa,Void_Manipulation_Support,Templar,The Caged Brute
Act 1,Nessa,Void_Manipulation_Support,Scion,The Caged Brute
Act 3,Siosa,Explosive_Arrow,Witch,A Fixture of Fate
Act 3,Siosa,Explosive_Arrow,Shadow,A Fixture of Fate
Act 3,Siosa,Explosive_Arrow,Ranger,A Fixture of Fate
Act 3,Siosa,Explosive_Arrow,Duelist,A Fixture of Fate
Act 3,Siosa,Explosive_Arrow,Marauder,A Fixture of Fate
Act 3,Siosa,Explosive_Arrow,Templar,A Fixture of Fate
Act 3,Siosa,Explosive_Arrow,Scion,A Fixture of Fate
Act 1,Nessa,Spell_Totem_Support,Witch,The Caged Brute
Act 3,Siosa,Spell_Totem_Support,Shadow,A Fixture of Fate
Act 3,Siosa,Spell_Totem_Support,Ranger,A Fixture of Fate
Act 3,Siosa,Spell_Totem_Support,Duelist,A Fixture of Fate
Act 1,Nessa,Spell_Totem_Support,Marauder,The Caged Brute
Act 1,Nessa,Spell_Totem_Support,Templar,The Caged Brute
Act 1,Nessa,Spell_Totem_Support,Scion,The Caged Brute
Act 1,Nessa,Storm_Brand,Witch,The Siren's Cadence
Act 3,Siosa,Storm_Brand,Shadow,A Fixture of Fate
Act 3,Siosa,Storm_Brand,Ranger,A Fixture of Fate
Act 3,Siosa,Storm_Brand,Duelist,A Fixture of Fate
Act 3,Siosa,Storm_Brand,Marauder,A Fixture of Fate
Act 1,Nessa,Storm_Brand,Templar,The Siren's Cadence
Act 1,Nessa,Storm_Brand,Scion,The Siren's Cadence
Act 3,Siosa,Grace,Witch,A Fixture of Fate
Act 3,Clarissa,Grace,Shadow,Lost in Love
Act 3,Clarissa,Grace,Ranger,Lost in Love
Act 3,Clarissa,Grace,Duelist,Lost in Love
Act 3,Siosa,Grace,Marauder,A Fixture of Fate
Act 3,Siosa,Grace,Templar,A Fixture of Fate
Act 3,Siosa,Grace,Scion,A Fixture of Fate
Act 3,Siosa,Discharge,Witch,A Fixture of Fate
Act 3,Siosa,Discharge,Shadow,A Fixture of Fate
Act 3,Siosa,Discharge,Ranger,A Fixture of Fate
Act 3,Siosa,Discharge,Duelist,A Fixture of Fate
Act 3,Siosa,Discharge,Marauder,A Fixture of Fate
Act 3,Siosa,Discharge,Templar,A Fixture of Fate
Act 3,Siosa,Discharge,Scion,A Fixture of Fate
Act 3,Clarissa,Temporal_Chains,Witch,Lost in Love
Act 3,Clarissa,Temporal_Chains,Shadow,Lost in Love
Act 3,Clarissa,Temporal_Chains,Ranger,Lost in Love
Act 3,Siosa,Temporal_Chains,Duelist,A Fixture of Fate
Act 3,Siosa,Temporal_Chains,Marauder,A Fixture of Fate
Act 3,Siosa,Temporal_Chains,Templar,A Fixture of Fate
Act 3,Clarissa,Temporal_Chains,Scion,Lost in Love
Act 2,Yeena,Herald_of_Ice,Witch,Intruders in Black
Act 2,Yeena,Herald_of_Ice,Shadow,Intruders in Black
Act 2,Yeena,Herald_of_Ice,Ranger,Intruders in Black
Act 2,Yeena,Herald_of_Ice,Duelist,Intruders in Black
Act 2,Yeena,Herald_of_Ice,Marauder,Intruders in Black
Act 2,Yeena,Herald_of_Ice,Templar,Intruders in Black
Act 2,Yeena,Herald_of_Ice,Scion,Intruders in Black
Act 3,Siosa,Close_Combat_Support,Witch,A Fixture of Fate
Act 2,Yeena,Close_Combat_Support,Shadow,Sharp and Cruel
Act 2,Yeena,Close_Combat_Support,Ranger,Sharp and Cruel
Act 2,Yeena,Close_Combat_Support,Duelist,Sharp and Cruel
Act 2,Yeena,Close_Combat_Support,Marauder,Sharp and Cruel
Act 2,Yeena,Close_Combat_Support,Templar,Sharp and Cruel
Act 2,Yeena,Close_Combat_Support,Scion,Sharp and Cruel
Act 3,Siosa,Divine_Ire,Witch,A Fixture of Fate
Act 3,Siosa,Divine_Ire,Shadow,A Fixture of Fate
Act 3,Siosa,Divine_Ire,Ranger,A Fixture of Fate
Act 3,Siosa,Divine_Ire,Duelist,A Fixture of Fate
Act 3,Siosa,Divine_Ire,Marauder,A Fixture of Fate
Act 3,Siosa,Divine_Ire,Templar,A Fixture of Fate
Act 3,Siosa,Divine_Ire,Scion,A Fixture of Fate
Act 3,Clarissa,Frostbite,Witch,Lost in Love
Act 3,Clarissa,Frostbite,Shadow,Lost in Love
Act 3,Clarissa,Frostbite,Ranger,Lost in Love
Act 3,Siosa,Frostbite,Duelist,A Fixture of Fate
Act 3,Siosa,Frostbite,Marauder,A Fixture of Fate
Act 3,Clarissa,Frostbite,Templar,Lost in Love
Act 3,Clarissa,Frostbite,Scion,Lost in Love
Act 3,Siosa,Split_Arrow,Witch,A Fixture of Fate
Act 1,Nessa,Split_Arrow,Shadow,Enemy at the Gate
Act 1,Nessa,Split_Arrow,Ranger,Enemy at the Gate
Act 1,Nessa,Split_Arrow,Duelist,Enemy at the Gate
Act 3,Siosa,Split_Arrow,Marauder,A Fixture of Fate
Act 3,Siosa,Split_Arrow,Templar,A Fixture of Fate
Act 1,Nessa,Split_Arrow,Scion,Enemy at the Gate
Act 3,Siosa,Pestilent_Strike,Witch,A Fixture of Fate
Act 3,Siosa,Pestilent_Strike,Shadow,A Fixture of Fate
Act 3,Siosa,Pestilent_Strike,Ranger,A Fixture of Fate
Act 3,Siosa,Pestilent_Strike,Duelist,A Fixture of Fate
Act 3,Siosa,Pestilent_Strike,Marauder,A Fixture of Fate
Act 3,Siosa,Pestilent_Strike,Templar,A Fixture of Fate
Act 3,Siosa,Pestilent_Strike,Scion,A Fixture of Fate
Act 1,Nessa,Vitality,Witch,The Caged Brute
Act 1,Nessa,Vitality,Shadow,The Caged Brute
Act 1,Nessa,Vitality,Ranger,The Caged Brute
Act 1,Nessa,Vitality,Duelist,The Caged Brute
Act 1,Nessa,Vitality,Marauder,The Caged Brute
Act 1,Nessa,Vitality,Templar,The Caged Brute
Act 1,Nessa,Vitality,Scion,The Caged Brute
Act 4,Petarus and Vanja,Multistrike_Support,Witch,The Eternal Nightmare
Act 4,Petarus and Vanja,Multistrike_Support,Shadow,The Eternal Nightmare
Act 4,Petarus and Vanja,Multistrike_Support,Ranger,The Eternal Nightmare
Act 4,Petarus and Vanja,Multistrike_Support,Duelist,The Eternal Nightmare
Act 4,Petarus and Vanja,Multistrike_Support,Marauder,The Eternal Nightmare
Act 4,Petarus and Vanja,Multistrike_Support,Templar,The Eternal Nightmare
Act 4,Petarus and Vanja,Multistrike_Support,Scion,The Eternal Nightmare
Act 1,Nessa,Spirit_Offering,Witch,The Siren's Cadence
Act 3,Siosa,Spirit_Offering,Shadow,A Fixture of Fate
Act 3,Siosa,Spirit_Offering,Ranger,A Fixture of Fate
Act 3,Siosa,Spirit_Offering,Duelist,A Fixture of Fate
Act 3,Siosa,Spirit_Offering,Marauder,A Fixture of Fate
Act 1,Nessa,Spirit_Offering,Templar,The Siren's Cadence
Act 1,Nessa,Spirit_Offering,Scion,The Siren's Cadence
Act 2,Yeena,Herald_of_Thunder,Witch,Intruders in Black
Act 2,Yeena,Herald_of_Thunder,Shadow,Intruders in Black
Act 2,Yeena,Herald_of_Thunder,Ranger,Intruders in Black
Act 2,Yeena,Herald_of_Thunder,Duelist,Intruders in Black
